(24845,1166016512,19934)
(18870,1140850688,25365)
(10622,1166016512,16733)
(24360,1140850688,21869)
(2452,1140850688,8408)
(10372,671088640,24427)
(4322,1233125376,22998)
(22175,671088640,24427)
(11459,939524096,3169)
(14696,1115684864,19701)
(758,671088640,2215)
(11373,872415232,4344)
(6088,872415232,10991)
(3544,1115684864,3177)
(26281,1115684864,4988)
(13515,671088640,24427)
(14318,1233125376,11408)
(10406,1105199104,10045)
(16243,1115684864,25689)
(14548,1103101952,6708)
(1545,872415232,8632)
(14209,939524096,3169)
(5069,1115684864,2220)
(6167,939524096,3169)
(5184,939524096,3169)
(1320,939524096,3169)
(5693,671088640,24427)
(2626,939524096,3169)
(9068,1115684864,25110)
(17952,872415232,21605)
(8245,1140850688,21869)
(7590,872415232,9318)
(8975,1115684864,15971)
(3671,671088640,16145)
(23915,671088640,8266)
(13464,872415232,23672)
(8994,671088640,17778)
(5997,1166016512,18282)
(10616,939524096,3169)
(24060,1115684864,19701)
(14136,1115684864,4384)
(23067,939524096,3169)
(1224,671088640,22737)
(16289,671088640,23856)
(2046,1166016512,26047)
(7725,1115684864,902)
(598,1115684864,15459)
(6958,671088640,1463)
(3050,1115684864,25395)
(21821,1115684864,21241)
(4515,1115684864,5396)
(480,1006632960,10987)
(15409,1166016512,8491)
(18217,671088640,14323)
(12077,872415232,12273)
(22270,872415232,26368)
(17768,1140850688,21869)
(25867,1115684864,21618)
(16131,671088640,4206)
(12243,939524096,3169)
(12209,1140850688,8951)
(10244,671088640,25802)
(13391,1166016512,400)
(21898,671088640,17778)
(2948,1115684864,3165)
(15392,1233125376,15991)
(6255,939524096,3169)
(1878,939524096,3169)
(3609,939524096,3169)
(25228,1115684864,10499)
(10476,939524096,3169)
(22909,1115684864,15372)
(1407,872415232,5818)
(16174,671088640,2694)
(2709,1115684864,8930)
(8996,872415232,79)
(7584,872415232,5722)
(25245,671088640,17770)
(26042,1115684864,5906)
(2991,671088640,11388)
(17382,1115684864,4926)
(11482,671088640,3296)
(18269,671088640,17695)
(15875,872415232,25647)
(12578,1166016512,22118)
(21926,671088640,22862)
(22084,939524096,3169)
(6348,1115684864,16112)
(18980,1115684864,15769)
(19747,1199570944,25013)
(19151,1115684864,17634)
(14312,671088640,2694)
(7127,1199570944,4837)
(2286,872415232,3874)
(15088,939524096,3169)
(16138,1115684864,15232)
(660,872415232,8426)
(25813,1166016512,13745)
(21485,1233125376,17375)
(14270,1115684864,15239)
(19181,1115684864,17529)
(11696,1115684864,13151)
(17999,1115684864,8937)
(11745,1166016512,7015)
(8232,1166016512,12001)
(10959,1166016512,104)
